Added Feature,Test Accuracy,Test Delta,Train Accuracy,Train Delta
NO FEATURES,0.1965982991495748,0.05374115629243195,0.19913580246913581,0.056278659611992965
Token string,0.7668834417208604,0.5702851425712856,0.9135802469135802,0.7144444444444444
Google 300-dim word embeddings,0.8419209604802401,0.0750375187593797,0.9134567901234568,-1.234567901233774E-4
